Biomes,Materials,Slope Min,Slope Max,Height Min,Height Max,Type,Subtype,Density,MaxRoll,Latitude min,Latitude Max,Longitude Min,Longitude Max
150,Woods,0,35,0,0.4,Tree,SpruceTree10m,0.015,,,-75,-35,
150,Woods,0,35,0,0.4,Tree,SpruceTree15m,0.032,,,-75,-35,
150,Woods,0,35,0,0.4,Tree,SpruceTree175m,0.026,,,-75,-35,
150,Woods,0,35,0,0.4,Tree,SpruceTree225m,0.013,,,-75,-35,
150,Woods,0,35,0,0.4,Tree,SpruceTree25m,0.005,,,-75,-35,
150,Woods,0,35,0,0.4,Static,Fern,0.12,,35,-75,-35,
150,Woods,0,35,0,0.4,Gatherable,HazelLarge,0.025,,,-75,-35,
150,Woods,0,35,0,0.4,Gatherable,HazelMedium,0.030,,,-75,-35,
150,Woods,0,35,0,0.4,Gatherable,HazelSmall,0.055,,,-75,-35,
150,Woods,0,35,0,0.4,Gatherable,Berries,0.03,,,-75,-35,
150,Woods,0,35,0,0.4,Gatherable,Mushrooms,0.024,,,-75,-35,
150,Woods,0,35,0,0.4,Gatherable,StonePile,0.03,,,-75,-35,
150,Woods,0,35,0,0.4,Gatherable,SingleStone,0.045,,,-75,-35,
"153,150",Woods_grass,0,35,0,0.4,Tree,SpruceTreeMedium4m,0.035,,,-75,-35,
"153,150",Woods_grass,0,35,0,0.4,Tree,SpruceTree10m,0.034,,,-75,-35,
"153,150",Woods_grass,0,35,0,0.4,Tree,SpruceTree15m,0.017,,,-75,-35,
"153,150",Woods_grass,0,35,0,0.4,Tree,SpruceTree175m,0.011,,,-75,-35,
"153,150",Woods_grass,0,35,0,0.4,Tree,SpruceTree225m,0.001,,,-75,-35,
"153,150",Woods_grass,0,35,0,0.4,Static,Fern,0.15,,35,-75,-35,
"153,150",Woods_grass,0,35,0,0.4,Gatherable,HazelLarge,0.031,,,-75,-35,
"153,150",Woods_grass,0,35,0,0.4,Gatherable,HazelMedium,0.033,,,-75,-35,
"153,150",Woods_grass,0,35,0,0.4,Gatherable,HazelSmall,0.2,,,-75,-35,
"153,150",Woods_grass,0,35,0,0.4,Gatherable,Berries,0.05,,,-75,-35,
"153,150",Woods_grass,0,35,0,0.4,Gatherable,Mushrooms,0.006,,,-75,-35,
"153,150",Woods_grass,0,35,0,0.4,Gatherable,StonePile,0.024,,,-75,-35,
"153,150",Woods_grass,0,35,0,0.4,Gatherable,SingleStone,0.036,,,-75,-35,
150,Woods,0,35,0,0.4,Tree,SpruceTreeMedium4m,0.021,,,-35,-5,
150,Woods,0,35,0,0.4,Tree,SpruceTree10m,0.029,,,-35,-5,
150,Woods,0,35,0,0.4,Tree,SpruceTree15m,0.049,,,-35,-5,
150,Woods,0,35,0,0.4,Tree,SpruceTree175m,0.029,,,-35,-5,
150,Woods,0,35,0,0.4,Tree,PineTree22m,0.01,,,-35,-5,
150,Woods,0,35,0,0.4,Tree,SpruceTree225m,0.007,,,-35,-5,
150,Woods,0,35,0,0.4,Static,Fern,0.25,,35,-35,-5,
150,Woods,0,35,0,0.4,Gatherable,HazelLarge,0.02,,,-35,-5,
150,Woods,0,35,0,0.4,Gatherable,HazelMedium,0.04,,,-35,-5,
150,Woods,0,35,0,0.4,Gatherable,HazelSmall,0.05,,,-35,-5,
150,Woods,0,35,0,0.4,Gatherable,Berries,0.027,,,-35,-5,
150,Woods,0,35,0,0.4,Gatherable,Mushrooms,0.012,,,-35,-5,
150,Woods,0,35,0,0.4,Gatherable,StonePile,0.027,,,-35,-5,
150,Woods,0,35,0,0.4,Gatherable,SingleStone,0.042,,,-35,-5,
"153,150",Woods_grass,0,35,0,0.4,Tree,SpruceTreeMedium4m,0.03,,,-35,-5,
"153,150",Woods_grass,0,35,0,0.4,Tree,SpruceTree10m,0.015,,,-35,-5,
"153,150",Woods_grass,0,35,0,0.4,Tree,SpruceTree15m,0.01,,,-35,-5,
"153,150",Woods_grass,0,35,0,0.4,Tree,OakTree25,0.007,,,-35,-5,
"153,150",Woods_grass,0,35,0,0.4,Tree,OakTree5,0.01,,,-35,-5,
"153,150",Woods_grass,0,35,0,0.4,Tree,OakTree75,0.016,,,-35,-5,
"153,150",Woods_grass,0,35,0,0.4,Tree,OakTree10,0.01,,,-35,-5,
"153,150",Woods_grass,0,35,0,0.4,Static,Fern,0.15,,35,-35,-5,
"153,150",Woods_grass,0,35,0,0.4,Gatherable,HazelLarge,0.031,,,-35,-5,
"153,150",Woods_grass,0,35,0,0.4,Gatherable,HazelMedium,0.033,,,-35,-5,
"153,150",Woods_grass,0,35,0,0.4,Gatherable,HazelSmall,0.2,,,-35,-5,
"153,150",Woods_grass,0,35,0,0.4,Gatherable,Berries,0.05,,,-35,-5,
"153,150",Woods_grass,0,35,0,0.4,Gatherable,Mushrooms,0.006,,,-35,-5,
"153,150",Woods_grass,0,35,0,0.4,Gatherable,StonePile,0.024,,,-35,-5,
"153,150",Woods_grass,0,35,0,0.4,Gatherable,SingleStone,0.036,,,-35,-5,
"153,150","Rocks_grass,Woods_grass,Grass",0,45,0.3,0.45,Tree,SpruceTreeMedium4m,0.035,,,,,
"153,150","Rocks_grass,Woods_grass,Grass",0,45,0.3,0.45,Tree,SpruceTree10m,0.024,,,,,
"153,150","Rocks_grass,Woods_grass,Grass",0,45,0.3,0.45,Gatherable,HazelLarge,0.012,,,,,
"153,150","Rocks_grass,Woods_grass,Grass",0,45,0.3,0.45,Gatherable,HazelMedium,0.012,,,,,
"153,150","Rocks_grass,Woods_grass,Grass",0,45,0.3,0.45,Gatherable,HazelSmall,0.021,,,,,
"153,150","Rocks_grass,Woods_grass,Grass",0,45,0.3,0.45,Gatherable,HazelLargeBranchless,0.002,,,,,
"153,150","Rocks_grass,Woods_grass,Grass",0,45,0.3,0.45,Gatherable,HazelMediumBranchless,0.002,,,,,
"153,150","Rocks_grass,Woods_grass,Grass",0,45,0.3,0.45,Gatherable,Berries,0.021,,,,,
"153,150","Rocks_grass,Woods_grass,Grass",0,45,0.3,0.45,Gatherable,Mushrooms,0.003,,,,,
"153,150","Rocks_grass,Woods_grass,Grass",0,45,0.3,0.45,Gatherable,SingleStone,0.021,,,,,
"153,150","Rocks_grass,Woods_grass,Grass",0,45,0.3,0.45,Gatherable,StoneLarge,0.011,,,,,
"153,150","Rocks_grass,Grass",0,45,0.0,0.3,Tree,SpruceTreeMedium4m,0.035,,,,,
"153,150","Rocks_grass,Grass",0,45,0.0,0.3,Tree,SpruceTree10m,0.024,,,,,
"153,150","Rocks_grass,Grass",0,45,0.0,0.3,Gatherable,HazelLarge,0.012,,,,,
"153,150","Rocks_grass,Grass",0,45,0.0,0.3,Gatherable,HazelMedium,0.012,,,,,
"153,150","Rocks_grass,Grass",0,45,0.0,0.3,Gatherable,HazelSmall,0.021,,,,,
"153,150","Rocks_grass,Grass",0,45,0.0,0.3,Gatherable,HazelLargeBranchless,0.002,,,,,
"153,150","Rocks_grass,Grass",0,45,0.0,0.3,Gatherable,HazelMediumBranchless,0.002,,,,,
"153,150","Rocks_grass,Grass",0,45,0.0,0.3,Gatherable,Berries,0.021,,,,,
"153,150","Rocks_grass,Grass",0,45,0.0,0.3,Gatherable,Mushrooms,0.003,,,,,
"153,150","Rocks_grass,Grass",0,45,0.0,0.3,Gatherable,SingleStone,0.021,,,,,
"153,150","Rocks_grass,Grass",0,45,0.0,0.3,Gatherable,StoneLarge,0.011,,,,,
"153,150","Rocks_grass,Woods_grass",0,45,0.45,0.55,Tree,SpruceTreeMedium4m,0.06,,,,,
"153,150","Rocks_grass,Woods_grass",0,45,0.45,0.55,Gatherable,HazelLarge,0.02,,,,,
"153,150","Rocks_grass,Woods_grass",0,45,0.45,0.55,Gatherable,HazelMedium,0.035,,,,,
"153,150","Rocks_grass,Woods_grass",0,45,0.45,0.55,Gatherable,HazelSmall,0.03,,,,,
"153,150","Rocks_grass,Woods_grass",0,45,0.45,0.55,Gatherable,HazelLargeBranchless,0.015,,,,,
"153,150","Rocks_grass,Woods_grass",0,45,0.45,0.55,Gatherable,HazelMediumBranchless,0.025,,,,,
"153,150","Rocks_grass,Woods_grass",0,45,0.45,0.55,Gatherable,Berries,0.015,,,,,
"153,150","Rocks_grass,Woods_grass",0,45,0.45,0.55,Gatherable,Mushrooms,0.002,,,,,
"153,150","Rocks_grass,Woods_grass",0,45,0.45,0.55,Gatherable,SingleStone,0.025,,,,,
"153,150","Rocks_grass,Woods_grass",0,45,0.45,0.55,Gatherable,StoneLarge,0.015,,,,,
155,"Woods,Woods_grass,Grass",,,,,Gatherable,HazelSmall,0.048,,,,,
155,"Woods,Woods_grass,Grass",,,,,Static,Fern,0.036,,35,,,
155,"Woods,Woods_grass,Grass",,,,,Gatherable,Berries,0.03,,,,,
155,"Woods,Woods_grass,Grass",,,,,Gatherable,StonePile,0.007,,,,,
155,"Woods,Woods_grass,Grass",,,,,Gatherable,SingleStone,0.007,,,,,
155,"Woods,Woods_grass,Grass",,,,,Gatherable,StoneLarge,0.072,,,,,
,Rocks_grass,0,30,,,Gatherable,StoneLarge,0.35,,,,,
,Rocks_grass,0,30,,,Gatherable,StonePile,0.042,,,,,
,Rocks_grass,0,30,,,Gatherable,SingleStone,0.5,,,,,
180,SandGrass,,,,,Gatherable,Roots,0.042,,,,,
180,SandGrass,,,,,Gatherable,Opuntia,0.03,,,,,
180,SandGrass,,,,,Gatherable,DriedBush,0.06,,,,,
180,SandGrass,,,,,Gatherable,WildFlaxDesert,0.018,,,,,
180,SandGrass,,,,,Gatherable,SandStoneSmall,0.08,,,,,
180,SandGrass,,,,,Gatherable,SandStoneLarge,0.04,,,,,
185,"SandGrass,Sand",,,,,Gatherable,DriedBush,0.3,,,,,
185,"SandGrass,Sand",,,,,Gatherable,HazelLargeBranchless,0.102,,,,,
185,"SandGrass,Sand",,,,,Gatherable,HazelMediumBranchless,0.198,,,,,
185,"SandGrass,Sand",,,,,Gatherable,Opuntia,0.025,,,,,
185,"SandGrass,Sand",,,,,Gatherable,WildFlaxDesert,0.15,,,,,
185,"SandGrass,Sand",,,,,Gatherable,SandStoneLarge,0.048,,,,,
185,"SandGrass,Sand",,,,,Gatherable,SandStoneSmall,0.102,,,,,
192,,,,,,Bot,Deer,0.6,,,,,
190,,,,,,Bot,Deer,0.12,,,,,
,,,,,,Bot,BarbarianArctic,0.042,,,-90,-65,
,,,,,,Bot,BarbarianForest,0.036,,,-65,-55,
,,,,,,Bot,DeerNothern,0.042,,,-65,-55,
,,,,,,Bot,Deer,0.096,,,-55,-45,
,,,,,,Bot,DeerNothern,0.03,,,-55,-45,
,,,,,,Bot,BarbarianForest,0.024,,,-55,-45,
,,,,,,Bot,Deer,0.12,,,-45,-35,
,,,,,,Bot,BarbarianForest,0.012,,,-45,-35,
,,,,,,Bot,Deer,0.08,,,-35,-25,
,,,,,,Bot,BarbarianForest,0.012,,,-35,-25,
,,,,,,Bot,BarbarianForest,0.012,,,-25,-20,
,,,,,,Bot,Deer,0.01,,,-25,-20,
,,,,,,Bot,BarbarianForest,0.036,,,-20,-10,
,,,,,,Bot,BarbarianDesert,0.012,,,-10,10,-125
,,,,,,Bot,BarbarianDesert,0.036,,,-15,15,-25
,,,,,,Bot,BarbarianForest,0.012,,,-10,10,151
,,,,,,Bot,BarbarianForest,0.036,,,10,20,
,,,,,,Bot,BarbarianForest,0.012,,,20,25,
,,,,,,Bot,Deer,0.01,,,20,25,
,,,,,,Bot,Deer,0.08,,,25,35,
,,,,,,Bot,BarbarianForest,0.012,,,25,35,
,,,,,,Bot,Deer,0.12,,,35,45,
,,,,,,Bot,BarbarianForest,0.012,,,35,45,
,,,,,,Bot,Deer,0.096,,,45,55,
,,,,,,Bot,DeerNothern,0.03,,,45,55,
,,,,,,Bot,BarbarianForest,0.024,,,45,55,
,,,,,,Bot,BarbarianForest,0.036,,,55,65,
,,,,,,Bot,DeerNothern,0.042,,,55,65,
,,,,,,Bot,BarbarianArctic,0.042,,,65,90,
